"Mass Order Actions","Mass Order Actions"
"General","General"
"Enabled Actions","Enabled Actions"
"Press CTRL+mouse to select multiple values.","Press CTRL+mouse to select multiple values."
"Invoice","Invoice"
"Notify Customer","Notify Customer"
"Assign Status","Assign Status"
"Assign Status","Assign Status"
"Ship","Ship"
"Default Carrier","Default Carrier"
"Will be pre-selected at the orders grid.","Will be pre-selected at the orders grid."
"Default Title for Custom Carrier","Default Title for Custom Carrier"
"Will be shown in the carrires dropdown for the `custom` option, if the setting below is set to `No`.","Will be shown in the carrires dropdown for the `custom` option, if the setting below is set to `No`."
"Show Custom Carrier Title at the Order Grid","Show Custom Carrier Title at the Order Grid"
"Magento Default","Magento Default"
"Custom","Custom"
