"Delete Any Order - Overview","Delete Any Order - Overview"
"Delete Any Order","Delete Any Order"
"Overview","Overview"
"Clean-up","Clean-up"
"Order Invoice","Order Invoice"
"Order Credit Memo","Order Credit Memo"
"Purchased on","Purchased on"
"Confirmation","Confirmation"
"Analyze Database", "Analyze Database"
"Analysis of order-objects", "Analysis of order-objects"
"Order records", "Order records"
"Class", "Class"
"Increment IDs", "Increment IDs"
"Current ID", "Current ID"
"Latest ID", "Latest ID"
"Obsolete entries", "Obsolete entries"
"Make sure you have a valid backup before continuing","Make sure you have a valid backup before continuing"
"Deleted %s orders succesfully", "Deleted %s orders succesfully"
"Unable to delete %s orders", "Unable to delete %s orders"
"Failed to load order with ID %d", "Failed to load order with ID %d"
"Failed to delete collection %s: %s", "Failed to delete collection %s: %s"
"Failed to delete downloadable product: %s", "Failed to delete downloadable product: %s"
"Failed to delete order item: %s", "Failed to delete order item: %s"
"Failed to delete order-item: %s", "Failed to delete order-item: %s"
"Reset stock of product ""%s"" with quantity %d", "Reset stock of product ""%s"" with quantity %d"
