"%s sale(s) order(s) was/were successfully deleted.","%s commande(s) a/ont été supprimée(s) avec succès."
"%s invoice(s) order(s) was/were successfully deleted.","%s facture(s) a/ont été supprimée(s) avec succès."
"%s shipment(s) order(s) was/were successfully deleted.","%s expédition(s) a/ont été supprimée(s) avec succès."
"%s credit memo(s) order(s) was/were successfully deleted.","%s remboursement(s) a/ont été supprimé(s) avec succès."
"Selected order(s) can not be deleted.","Le(s) commande(s) sélectionné(s) ne peu(ven)t pas être supprimé(s)."
"An error arose during the deletion. %s","Une erreur est survenue lors de la suppression. %s"
"This feature was deactivated.","Cette fonctionnalité a été désactivée."
"Are you sure to delete the selected sales orders? Warning: invoices/shipments/credit memos associated will be also deleted!","Etes vous sûr de bien vouloir supprimer les commandes sélectionnées? Attention: les factures/expéditions/remboursements associés seront également effacés!"
"Are you sure to delete the selected sales orders?","Etes vous sûr de bien vouloir supprimer les commandes sélectionnées?"
"Delete All !","Supprimer tout !"
"Allow to delete the orders","Permettre de supprimer les commandes"
"Deletion of Orders","Suppression des commandes"
"Delete order status","Statuts des commandes supprimables"
"Also remove orders with invoices, shipments or credit memos related","Supprimer aussi les commandes avec des factures, expéditions ou remboursements liés"
